Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W1,DSC_0626.NEF,-0.9980658810921506,-0.0018874835199832788,4492.39989427537,0.008230134617708829,-1.0060239870510455,2853.120649950109,4.292415491317574e-06,5.362446171241753e-07,1.0
A&W1,DSC_0627.NEF,-0.9977344753584055,-0.0025766002618586997,4489.07922051043,0.008070486834353524,-1.0050270754378048,2850.8078074529267,3.7683155489521494e-06,3.3771716031790584e-08,1.0
A&W1,DSC_0628.NEF,-0.9979023199368803,-0.0024531971723829385,4492.176807054457,0.007873600294387292,-1.005808066117957,2854.223654980976,4.159057432955472e-06,3.48830378903392e-07,0.9999999999999999
A&W1,DSC_0629.NEF,-0.9979562636688515,-0.0021653440161446555,4488.102120130708,0.006770204620641716,-1.0038363347389307,2851.99552389489,3.3751939535490606e-06,4.215196432326631e-07,1.0
A&W1,DSC_0630.NEF,-0.997829051525669,-0.002301736096556635,4489.346075654546,0.007431503341002678,-1.0045218128992728,2852.3468821317797,3.676401065454762e-06,3.603227960641373e-07,1.0
A&W1,DSC_0631.NEF,-0.9956240251072866,-0.004726327277860936,4477.304545886926,0.00459080756972524,-0.998809117559274,2842.326476705268,1.7929510080106622e-06,-3.40609929407519e-07,1.0
A&W1,DSC_0632.NEF,-0.9978064855182789,-0.0021059767947745178,4486.872301362115,0.00682933838972827,-1.0034627088269403,2849.9925989302233,3.1949863581487154e-06,4.656056218652616e-07,0.9999999999999999
A&W1,DSC_0633.NEF,-0.9972897664772795,-0.0027189130248864136,4489.5326756695,0.00809582897883549,-1.0052554553265616,2853.309426639078,4.050901382281009e-06,9.278179645887133e-08,0.9999999999999999
A&W1,DSC_0634.NEF,-0.9976660050270911,-0.0025830783913466044,4489.006453035368,0.00781918810796052,-1.0046994339974182,2849.6047007215657,3.6313423241745105e-06,2.6128422402521256e-07,0.9999999999999999
A&W1,DSC_0635.NEF,-0.9976472416510271,-0.0022346412468204494,4488.859981784175,0.00732795644020249,-1.0042148555541524,2852.2824077677956,3.4803001014503066e-06,5.963303327223832e-07,1.0
A&W1,DSC_0636.NEF,-0.9976507223906552,-0.0026112662048516496,4488.237755660688,0.00667596827851149,-1.0038953334603238,2852.4378060658514,3.45926847110076e-06,1.974259834777385e-07,1.0
